"Date","Source","Site ID","POC","Daily Mean PM2.5 Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"01/01/2020","AQS","060290010","1","36.8","ug/m3 LC","104","Bakersfield-Golden/M St","1","100.0000","88101","PM2.5 - Local Conditions","12540","Bakersfield, CA","06","California","029","Kern","35.385574","-119.015009"
"01/04/2020","AQS","060290010","1","23.7","ug/m3 LC","75","Bakersfield-Golden/M St","1","100.0000","88101","PM2.5 - Local Conditions","12540","Bakersfield, CA","06","California","029","Kern","35.385574","-119.015009"
"01/10/2020","AQS","060290010","1","18.5","ug/m3 LC","64","Bakersfield-Golden/M St","1","100.0000","88101","PM2.5 - Local Conditions","12540","Bakersfield, CA","06","California","029","Kern","35.385574","-119.015009"
"01/13/2020","AQS","060290010","1","15.1","ug/m3 LC","57","Bakersfield-Golden/M St","1","100.0000","88101","PM2.5 - Local Conditions","12540","Bakersfield, CA","06","California","029","Kern","35.385574","-119.015009"
"01/16/2020","AQS","060290010","1","21","ug/m3 LC","70","Bakersfield-Golden/M St","1","100.0000","88101","PM2.5 - Local Conditions","12540","Bakersfield, CA","06","California","029","Kern","35.385574","-119.015009"
"01/19/2020","AQS","060290010","1","23.9","ug/m3 LC","76","Bakersfield-Golden/M St","1","100.0000","88101","PM2.5 - Local Conditions","12540","Bakersfield, CA","06","California","029","Kern","35.385574","-119.015009"
"01/22/2020","AQS","060290010","1","11.9","ug/m3 LC","50","Bakersfield-Golden/M St","1","100.0000","88101","PM2.5 - Local Conditions","12540","Bakersfield, CA","06","California","029","Kern","35.385574","-119.015009"
"01/25/2020","AQS","060290010","1","20.6","ug/m3 LC","69","Bakersfield-Golden/M St","1","100.0000","88101","PM2.5 - Local Conditions","12540","Bakersfield, CA","06","California","029","Kern","35.385574","-119.015009"
"01/28/2020","AQS","060290010","1","20.1","ug/m3 LC","68","Bakersfield-Golden/M St","1","100.0000","88101","PM2.5 - Local Conditions","12540","Bakersfield, CA","06","California","029","Kern","35.385574","-119.015009"
"01/31/2020","AQS","060290010","1","22.4","ug/m3 LC","73","Bakersfield-Golden/M St","1","100.0000","88101","PM2.5 - Local Conditions","12540","Bakersfield, CA","06","California","029","Kern","35.385574","-119.015009"
"02/03/2020","AQS","060290010","1","7.1","ug/m3 LC","30","Bakersfield-Golden/M St","1","100.0000","88101","PM2.5 - Local Conditions","12540","Bakersfield, CA","06","California","029","Kern","35.385574","-119.015009"
"02/06/2020","AQS","060290010","1","21.1","ug/m3 LC","70","Bakersfield-Golden/M St","1","100.0000","88101","PM2.5 - Local Conditions","12540","Bakersfield, CA","06","California","029","Kern","35.385574","-119.015009"
"02/09/2020","AQS","060290010","1","15.5","ug/m3 LC","58","Bakersfield-Golden/M St","1","100.0000","88101","PM2.5 - Local Conditions","12540","Bakersfield, CA","06","California","029","Kern","35.385574","-119.015009"
"02/12/2020","AQS","060290010","1","10.6","ug/m3 LC","44","Bakersfield-Golden/M St","1","100.0000","88101","PM2.5 - Local Conditions","12540","Bakersfield, CA","06","California","029","Kern","35.385574","-119.015009"
"02/15/2020","AQS","060290010","1","28.5","ug/m3 LC","85","Bakersfield-Golden/M St","1","100.0000","88101","PM2.5 - Local Conditions","12540","Bakersfield, CA","06","California","029","Kern","35.385574","-119.015009"
"02/18/2020","AQS","060290010","1","15.3","ug/m3 LC","58","Bakersfield-Golden/M St","1","100.0000","88101","PM2.5 - Local Conditions","12540","Bakersfield, CA","06","California","029","Kern","35.385574","-119.015009"
"02/27/2020","AQS","060290010","1","13.5","ug/m3 LC","54","Bakersfield-Golden/M St","1","100.0000","88101","PM2.5 - Local Conditions","12540","Bakersfield, CA","06","California","029","Kern","35.385574","-119.015009"
"02/28/2020","AQS","060290010","1","14.4","ug/m3 LC","56","Bakersfield-Golden/M St","1","100.0000","88101","PM2.5 - Local Conditions","12540","Bakersfield, CA","06","California","029","Kern","35.385574","-119.015009"
"03/01/2020","AQS","060290010","1","8.9","ug/m3 LC","37","Bakersfield-Golden/M St","1","100.0000","88101","PM2.5 - Local Conditions","12540","Bakersfield, CA","06","California","029","Kern","35.385574","-119.015009"
"03/04/2020","AQS","060290010","1","15.4","ug/m3 LC","58","Bakersfield-Golden/M St","1","100.0000","88101","PM2.5 - Local Conditions","12540","Bakersfield, CA","06","California","029","Kern","35.385574","-119.015009"
"03/07/2020","AQS","060290010","1","5.5","ug/m3 LC","23","Bakersfield-Golden/M St","1","100.0000","88101","PM2.5 - Local Conditions","12540","Bakersfield, CA","06","California","029","Kern","35.385574","-119.015009"
"03/13/2020","AQS","060290010","1","7.1","ug/m3 LC","30","Bakersfield-Golden/M St","1","100.0000","88101","PM2.5 - Local Conditions","12540","Bakersfield, CA","06","California","029","Kern","35.385574","-119.015009"
"03/16/2020","AQS","060290010","1","2.7","ug/m3 LC","11","Bakersfield-Golden/M St","1","100.0000","88101","PM2.5 - Local Conditions","12540","Bakersfield, CA","06","California","029","Kern","35.385574","-119.015009"
"03/19/2020","AQS","060290010","1","6.1","ug/m3 LC","25","Bakersfield-Golden/M St","1","100.0000","88101","PM2.5 - Local Conditions","12540","Bakersfield, CA","06","California","029","Kern","35.385574","-119.015009"
"03/22/2020","AQS","060290010","1","6.2","ug/m3 LC","26","Bakersfield-Golden/M St","1","100.0000","88101","PM2.5 - Local Conditions","12540","Bakersfield, CA","06","California","029","Kern","35.385574","-119.015009"
"03/25/2020","AQS","060290010","1","2.3","ug/m3 LC","10","Bakersfield-Golden/M St","1","100.0000","88101","PM2.5 - Local Conditions","12540","Bakersfield, CA","06","California","029","Kern","35.385574","-119.015009"
"03/28/2020","AQS","060290010","1","10","ug/m3 LC","42","Bakersfield-Golden/M St","1","100.0000","88101","PM2.5 - Local Conditions","12540","Bakersfield, CA","06","California","029","Kern","35.385574","-119.015009"
"03/31/2020","AQS","060290010","1","9.9","ug/m3 LC","41","Bakersfield-Golden/M St","1","100.0000","88101","PM2.5 - Local Conditions","12540","Bakersfield, CA","06","California","029","Kern","35.385574","-119.015009"
"04/03/2020","AQS","060290010","1","8.1","ug/m3 LC","34","Bakersfield-Golden/M St","1","100.0000","88101","PM2.5 - Local Conditions","12540","Bakersfield, CA","06","California","029","Kern","35.385574","-119.015009"
"04/06/2020","AQS","060290010","1","1","ug/m3 LC","4","Bakersfield-Golden/M St","1","100.0000","88101","PM2.5 - Local Conditions","12540","Bakersfield, CA","06","California","029","Kern","35.385574","-119.015009"
"04/09/2020","AQS","060290010","1","2.2","ug/m3 LC","9","Bakersfield-Golden/M St","1","100.0000","88101","PM2.5 - Local Conditions","12540","Bakersfield, CA","06","California","029","Kern","35.385574","-119.015009"
"04/15/2020","AQS","060290010","1","11.2","ug/m3 LC","47","Bakersfield-Golden/M St","1","100.0000","88101","PM2.5 - Local Conditions","12540","Bakersfield, CA","06","California","029","Kern","35.385574","-119.015009"
"04/18/2020","AQS","060290010","1","7.3","ug/m3 LC","30","Bakersfield-Golden/M St","1","100.0000","88101","PM2.5 - Local Conditions","12540","Bakersfield, CA","06","California","029","Kern","35.385574","-119.015009"
"04/21/2020","AQS","060290010","1","9.5","ug/m3 LC","40","Bakersfield-Golden/M St","1","100.0000","88101","PM2.5 - Local Conditions","12540","Bakersfield, CA","06","California","029","Kern","35.385574","-119.015009"
"04/24/2020","AQS","060290010","1","12.5","ug/m3 LC","52","Bakersfield-Golden/M St","1","100.0000","88101","PM2.5 - Local Conditions","12540","Bakersfield, CA","06","California","029","Kern","35.385574","-119.015009"
"04/27/2020","AQS","060290010","1","6.7","ug/m3 LC","28","Bakersfield-Golden/M St","1","100.0000","88101","PM2.5 - Local Conditions","12540","Bakersfield, CA","06","California","029","Kern","35.385574","-119.015009"
"04/30/2020","AQS","060290010","1","7","ug/m3 LC","29","Bakersfield-Golden/M St","1","100.0000","88101","PM2.5 - Local Conditions","12540","Bakersfield, CA","06","California","029","Kern","35.385574","-119.015009"
"05/03/2020","AQS","060290010","1","6.5","ug/m3 LC","27","Bakersfield-Golden/M St","1","100.0000","88101","PM2.5 - Local Conditions","12540","Bakersfield, CA","06","California","029","Kern","35.385574","-119.015009"
"05/06/2020","AQS","060290010","1","10.3","ug/m3 LC","43","Bakersfield-Golden/M St","1","100.0000","88101","PM2.5 - Local Conditions","12540","Bakersfield, CA","06","California","029","Kern","35.385574","-119.015009"
"05/09/2020","AQS","060290010","1","12.4","ug/m3 LC","52","Bakersfield-Golden/M St","1","100.0000","88101","PM2.5 - Local Conditions","12540","Bakersfield, CA","06","California","029","Kern","35.385574","-119.015009"
"05/12/2020","AQS","060290010","1","3.2","ug/m3 LC","13","Bakersfield-Golden/M St","1","100.0000","88101","PM2.5 - Local Conditions","12540","Bakersfield, CA","06","California","029","Kern","35.385574","-119.015009"
"05/15/2020","AQS","060290010","1","6.6","ug/m3 LC","28","Bakersfield-Golden/M St","1","100.0000","88101","PM2.5 - Local Conditions","12540","Bakersfield, CA","06","California","029","Kern","35.385574","-119.015009"
"05/18/2020","AQS","060290010","1","3.3","ug/m3 LC","14","Bakersfield-Golden/M St","1","100.0000","88101","PM2.5 - Local Conditions","12540","Bakersfield, CA","06","California","029","Kern","35.385574","-119.015009"
"05/21/2020","AQS","060290010","1","9.4","ug/m3 LC","39","Bakersfield-Golden/M St","1","100.0000","88101","PM2.5 - Local Conditions","12540","Bakersfield, CA","06","California","029","Kern","35.385574","-119.015009"
